trial,view,video_path,delta_z,success,joint_values
0,side,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_234713\side\trial_000_view-side_dz-+0.336_success-1.mp4,0.335851,1,"1.3062 1.4934 0.0819 -0.5156 1.6233 1.8891 -1.2200"
0,top,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_234713\top\trial_000_view-top_dz-+0.336_success-1.mp4,0.335851,1,"1.3062 1.4934 0.0819 -0.5156 1.6233 1.8891 -1.2200"
1,side,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_234713\side\trial_001_view-side_dz-+0.301_success-1.mp4,0.300609,1,"1.3473 1.4648 -0.0134 -0.5520 1.6522 1.7547 -1.2961"
1,top,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_234713\top\trial_001_view-top_dz-+0.301_success-1.mp4,0.300609,1,"1.3473 1.4648 -0.0134 -0.5520 1.6522 1.7547 -1.2961"
