trial,view,video_path,delta_z,success,joint_values
10,top,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\top\trial_010_view-top_dz-+0.349_success-1.mp4,0.348517,1,"1.3025 1.5342 0.1001 -0.5517 1.7412 1.8050 -1.3183"
11,side,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\side\trial_011_view-side_dz--0.038_success-0.mp4,-0.037740,0,"1.3467 1.5025 0.1500 -0.5114 1.6184 1.8521 -1.3398"
11,top,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\top\trial_011_view-top_dz--0.038_success-0.mp4,-0.037740,0,"1.3467 1.5025 0.1500 -0.5114 1.6184 1.8521 -1.3398"
12,side,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\side\trial_012_view-side_dz-+0.042_success-1.mp4,0.041870,1,"1.2360 1.5315 0.0790 -0.4561 1.6124 1.9555 -1.2996"
12,top,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\top\trial_012_view-top_dz-+0.042_success-1.mp4,0.041870,1,"1.2360 1.5315 0.0790 -0.4561 1.6124 1.9555 -1.2996"
13,side,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\side\trial_013_view-side_dz--0.038_success-0.mp4,-0.037740,0,"1.3786 1.4784 0.0131 -0.5083 1.7017 1.8791 -1.3145"
13,top,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\top\trial_013_view-top_dz--0.038_success-0.mp4,-0.037740,0,"1.3786 1.4784 0.0131 -0.5083 1.7017 1.8791 -1.3145"
14,side,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\side\trial_014_view-side_dz-+0.042_success-1.mp4,0.042260,1,"1.2328 1.4299 0.0750 -0.4713 1.6419 1.8173 -1.2415"
14,top,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\top\trial_014_view-top_dz-+0.042_success-1.mp4,0.042260,1,"1.2328 1.4299 0.0750 -0.4713 1.6419 1.8173 -1.2415"
15,side,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\side\trial_015_view-side_dz-+0.318_success-1.mp4,0.318091,1,"1.2359 1.4643 0.0810 -0.6333 1.6694 1.8419 -1.2797"
15,top,C:\Users\Dorian\Documents\mujoco_sim\franka_table\videos\robot1_pickup_sweeps\run_20251118_232930\top\trial_015_view-top_dz-+0.318_success-1.mp4,0.318091,1,"1.2359 1.4643 0.0810 -0.6333 1.6694 1.8419 -1.2797"
